date,headline,source,summary
2024-10-19,NextEra Energy price target raised to $91 from $83 at BMO Capital,Yahoo,"BMO Capital analyst James Thalacker raised the firm’s price target on NextEra Energy (NEE) to $91 from $83 and keeps an Outperform rating on the shares. The firm estimates the company’s Q3 EPS at 99c, up 5% y/y, with the increase driven primarily by NEER earnings, which benefit from over 1GW of new investments and more normal wind resource but partially offset by lower gas infrastructure contribution, the analyst tells investors in a research note. NextEra’s industry-leading profile within the s"
2024-10-20,11-14% Yielding Dividend Growers: 2 To Buy And 1 To Sell,SeekingAlpha,"High-yield dividend growth stocks can make for exceptional passive income machines. Find out two 11%+ yields that, we think, are worth buying, and one a sell."
2024-10-21,SRV: Still Looking Like A Solid Midstream Investment,SeekingAlpha,"NXG Cushing Midstream Energy Fund (SRV )offers a high yield without tax complications, making it suitable for tax-advantaged retirement accounts. Read more here."
2024-10-23,NCZ: This Convertible Bond CEF Has Improved Over The Past Few Months,SeekingAlpha,"The Virtus Convertible & Income Fund II offers an attractive 11.39% yield, outperforming many peers and appealing to income-focused investors despite potential sustainability concerns."
2024-10-23,NextEra Energy : Q3 2024 Release,Finnhub,"NextEra Energy, Inc. Media Line: 561-694-4442 Oct. 23, 2024 FOR IMMEDIATE RELEASE NextEra Energy reports..."
2024-10-23,NextEra: Q3 Earnings Snapshot,Yahoo,"The Juno Beach, Florida-based company said it had profit of 90 cents per share. Earnings, adjusted for non-recurring costs, were $1.03 per share. The results surpassed Wall Street expectations."
2024-10-23,NextEra Energy : Amendment to Beneficial Ownership Report - Form SC 13D/A,Finnhub,Submission Documents UNITED STATES SECURITIES AND EXCHANGE COMMISSION ...
2024-10-23,NextEra Energy Partners Swings to Loss in 3Q,MarketWatch,NextEra Energy Partners Swings to Loss in 3Q
2024-10-24,NextEra Ponders Nuclear Plant Restart as Backlog Climbs,Yahoo,"NextEra Energy’s CEO is considering restarting the Duane Arnold nuclear plant as electricity needs, particularly from data centers, are growing."
2024-10-24,This Magnificent Dividend Stock Continues to Generate High-Powered Growth,Yahoo,NextEra Energy is a fast-growing utility.
2024-10-24,NextEra CEO ‘not bullish’ on SMRs as company assesses potential Duane Arnold restart,Yahoo,"“There are only a few nuclear plants that can be recommissioned in an economic way,” and newer technologies like small modular reactors remain financially infeasible, CEO John Ketchum said."
2024-10-24,ClearBridge Global Value Improvers Strategy Q3 2024 Commentary,SeekingAlpha,The ClearBridge Global Value Improvers Strategy performed in line with its MSCI World Value benchmark during the third quarter. Click here to read more.
2024-10-28,"CenterPoint Energy Q3 Earnings Miss Estimates, Revenues Decline Y/Y",Yahoo,"CNP generated revenues of $1.86 billion, which missed the Zacks Consensus Estimate by 1.2%. The top line also plunged 0.2% year over year."
2024-10-29,How to Play NextEra Energy Stock After Q3 Earnings Beat,Yahoo,"NEE continues to benefit from improving economic conditions, a decline in interest rates and rising demand from its customers across the United States."
2024-10-29,NextEra Energy Inc. stock underperforms Tuesday when compared to competitors,MarketWatch,NextEra Energy Inc. stock underperforms Tuesday when compared to competitors
2024-10-30,"Edison International Q3 Earnings Beat Estimates, Revenues Rise Y/Y",Yahoo,"EIXs third-quarter earnings top estimates, while revenues increase year over year by 3.7%. The company narrows its 2024 EPS outlook."
2024-11-01,DTE or NEE: Which Is the Better Value Stock Right Now?,Yahoo,DTE vs. NEE: Which Stock Is the Better Value Option?
2024-11-01,"XEL Misses Q3 Earnings & Revenue Estimates, Plans to Invest $45B",Yahoo,Xcel Energys third-quarter earnings miss estimates. The company continues to add new customers and plans to invest $45 billion in 2025-2029.
2024-11-05,EVT: Diversification And Safe Haven Benefits,SeekingAlpha,"The Eaton Vance Tax-Advantaged Dividend Income Fund offers an 8.23% yield, significantly higher than most domestic equity indices, making it appealing for income-focused investors."
2024-11-06,Renewable-energy stocks tank after Trump wins White House,MarketWatch,Renewable-energy stocks tank after Trump wins White House
2024-11-06,Brokers Suggest Investing in NextEra (NEE): Read This Before Placing a Bet,Yahoo,"According to the average brokerage recommendation (ABR), one should invest in NextEra (NEE). It is debatable whether this highly sought-after metric is effective because Wall Street analysts recommendations tend to be overly optimistic. Would it be worth investing in the stock?"
2024-11-07,NextEra Energy to participate in EEI Financial Conference and meet with investors throughout November and December,Yahoo,"NextEra Energy, Inc. (NYSE: NEE) today announced that members of the senior management team will participate in the EEI Financial Conference from Sunday, Nov. 10, 2024, through Tuesday, Nov. 12, 2024, and participate in various investor meetings throughout November and December. They plan to discuss, among other things, long-term growth-rate expectations for NextEra Energy, reaffirming the companys previously announced adjusted earnings per share expectations ranges of $3.23 to $3.43 for 2024,"
2024-11-10,EVT: Monthly Distribution And Attractive Discount,SeekingAlpha,"EVT favors the financial sector, differentiating it from its heavy-tech weighted peers. Read more to see what makes the fund attractive."
2024-11-18,Tracking Mario Gabellis Gabelli Funds 13F Portfolio - Q3 2024 Update,SeekingAlpha,"Gabelli Funds 13F portfolio value grows to $13.87B, with top holdings in Microsoft and Lennar. Click here to read more about the trades and holdings in Q3."
2024-11-18,RSPU: Utilities Sector Dashboard For November,SeekingAlpha,Invesco S&P 500 Equal Weight Utilities ETF has similar performance and lower individual company risk vs XLU. Discover top utilities stocks and ETF options.
2024-11-19,How Trump’s second presidency could fuel nuclear energy and uranium demand,MarketWatch,How Trump’s second presidency could fuel nuclear energy and uranium demand
2024-11-21,Franklin Income Fund Q3 2024 Commentary,SeekingAlpha,"Franklin Income Fund underperformed its benchmark for the quarter ended September 30, 2024, while it outpaced the gain of the S&P 500 Index. Read more here."
2024-11-25,Franklin Utilities Fund Q3 2024 Commentary,SeekingAlpha,US equities collectively finished the third quarter of 2024 with record-high performance. Click here to read the full commentary.
2024-11-26,NextEra Energy: An Attractive Option For A Buy-And-Hold Investment,SeekingAlpha,NextEra Energy showcases a resilient business model bolstered by consistent capital expenditures in sustainable clean energy. Find out my analysis of NEE stock.
2024-11-27,NEE Trades at Premium to Industry: How to Play the Stock?,Yahoo,"NextEra Energy benefits from declining interest rates and improving economic conditions in Florida. Despite premium valuation, rising earnings estimates make it worth retaining in your portfolio."
2024-11-30,Why Is NextEra Energy Inc. (NEE) Among the Best American Energy Stocks to Buy According to Hedge Funds?,Yahoo,"We recently compiled a list of the 10 Best American Energy Stocks To Buy According to Hedge Funds. In this article, we are going to take a look at where NextEra Energy Inc. (NYSE:NEE) stands against the other American energy stocks. The energy industry includes stocks that are involved in the production or supply of energy. […]"
2024-11-30,"NextEra Energy Inc. stock rises Friday, still underperforms market",MarketWatch,"NextEra Energy Inc. stock rises Friday, still underperforms market"
2024-12-03,"Zacks Industry Outlook Highlights NextEra, Southern, Vistra and Exelon",Yahoo,"NextEra, Southern, Vistra and Exelon have been highlighted in this Industry Outlook article."
2024-12-05,Xcel Fortifies Infrastructure Using AI Technology to Detect Wildfire,Yahoo,XEL continues to strengthen its infrastructure through planned capital expenditure and provide reliable services to its customers.
2024-12-07,5 Relatively Secure And Cheap Dividend Stocks For December 2024: Yields Up To 9%,SeekingAlpha,"Discover 15 dividend-paying stocks to consider for your portfolio, including safe picks with discounts and yields ranging from 3.28% to 9%. Click for the picks."
2024-12-11,Phillips 66 Partners With NextEra to Build Solar Facility Near Rodeo Plant -- OPIS,MarketWatch,Phillips 66 Partners With NextEra to Build Solar Facility Near Rodeo Plant -- OPIS
2024-12-11,How Donald Trumps Tariffs Could Impact High-Yield Stocks,SeekingAlpha,Trumpâs proposed tariffs raise economic concerns. See how they impact high-yield sectors and learn about our top picks for todayâs market.
2024-12-12,This Magnificent Dividend Stock Continues to Add More Power to Its Growth Engine,Yahoo,NextEra Energy (NYSE: NEE) has one of the better dividend track records in the energy sector.  One factor powering that view is that NextEra Energy is working directly with a growing list of companies to help them meet their power needs.  A big driver of NextEras growth over the years has been its rapidly expanding energy resources segment.
2024-12-14,Risk-On Investor Attitude Could Drag U.S. Utility Stock Performance In 2025,SeekingAlpha,"Since the election, the S&P 500 Utilities index has underperformed the S&P 500, declining just over 1% as of the Dec. 11 close compared to the S&P 500s 5% gain."
2024-12-18,My Dividend Stock Portfolio: New November Dividend Record - 97 Holdings With 18 Buys,SeekingAlpha,"Financial writer achieves record dividend income in November through investments in BDCs, inching closer to $10,000 annual goal."
2024-12-20,NextEra Outperforms Industry in a Year: Should You Buy the Stock?,Yahoo,"NEE benefits from declining interest rates, rising demand for its services and improving economic conditions in Florida."
2024-12-21,"If I Had To Invest $100,000 In A Dividend Growth Portfolio Right Now, Heres What I Would Buy",SeekingAlpha,"The methodology uses earnings yield, dividend yield, and 5-year dividend CAGR to score and rank 55 stocks across all 11 sectors."
2024-12-23,Is NextEra Energy (NEE) One of the Best Electrical Infrastructure Stocks to Buy According to Analysts?,Yahoo,"We recently published a list of the 12 Best Electrical Infrastructure Stocks to Buy According to Analysts. In this article, we are going to take a look at where NextEra Energy, Inc. (NYSE:NEE) stands against the other best electrical infrastructure stocks to buy according to analysts. The United States is witnessing a notable surge in […]"
2024-12-23,Volatile Week To Finish Up The Last Monthly Options Expiration Of 2024,SeekingAlpha,Explore the volatility of the financial market during the last monthly options expiration of 2024 and the impact on options trades. Click for our income strategy.
2024-12-25,NextEra Energy Partners (NEP) Beats Stock Market Upswing: What Investors Need to Know,Yahoo,"In the most recent trading session, NextEra Energy Partners (NEP) closed at $17.78, indicating a +1.66% shift from the previous trading day."
2024-12-27,"Utilities: How AI, EVs power sector gains in 2024",Yahoo,"The utilities sector ETF (XLU) has gained nearly 20% in 2024, driven by growing demands from artificial intelligence infrastructure and global electrification initiatives. Yahoo Finance Senior Markets Reporter Ines Ferré analyzes this performance, examining the sectors strongest performers and explores Wall Streets outlook for nuclear energy in 2025. To watch more expert insights and analysis on the latest market action, check out more Wealth here. This post was written by Angel Smith"
2024-12-30,FPL to seek new rate plan to power growing state with unmatched combination of high reliability and low bills,Yahoo,Florida Power & Light Company today notified the Florida Public Service Commission (PSC) that it plans to file a formal request to set new rates once its current base rate agreement concludes at the end of 2025.
2024-12-31,My Best Dividend Aristocrats For January 2025,SeekingAlpha,"The ProShares S&P 500 Dividend Aristocrat ETF rocked a cool 4.85% gain in November, but its giving up nearly half of its return this year in December. Read more here."
2025-01-04,Nuclear-Energy Stocks Gain After Easing of Hydrogen Tax-Credit Rules,Yahoo,The final rule for clean-hydrogen production would allow some nuclear power plants that are at risk of retirement to produce the gas.
2025-01-05,MEGI: Deep Discount Returns With Market Volatility,SeekingAlpha,"MEGI offers differentiated infrastructure exposure focusing on decarbonization, digital transformation, and asset modernization. Read why MEGI is a Hold."
