date,headline,source,summary
2024-10-18,Danaher Gears Up to Report Q3 Earnings: Whats in the Cards?,Yahoo,DHRs Q3 results are likely to be affected by weakness in the Biotechnology and Life Sciences segment.
2024-10-18,Baron Health Care Fund Q3 2024 Shareholder Letter,SeekingAlpha,"In Q3 2024, Baron Health Care Fund advanced 5.81% (Inst), vs. 6.74% gain for the Russell 3000 Health Care Index (Benchmark). Click here to read the full letter."
2024-10-19,"Stocks to watch next week: Tesla, Lloyds, LOréal, Coca-Cola and Unilever",Yahoo,Earnings preview of key companies reporting next week and what to look out for.
2024-10-22,"Danaher 3Q EPS, Sales Top Views on Strong Cepheid Test Demand",Finnhub,"By Rob Curran Danaher Corp. posted third-quarter earnings and sales ahead of Wall Street expectations and backed its projection for 2024 sales growth, bolstered by growing demand for its Cepheid..."
2024-10-22,Danaher (DHR) Q3 Earnings: How Key Metrics Compare to Wall Street Estimates,Yahoo,"While the top- and bottom-line numbers for Danaher (DHR) give a sense of how the business performed in the quarter ended September 2024, it could be worth looking at how some of its key metrics compare to Wall Street estimates and year-ago values."
2024-10-22,"Danaher : Quarterly Report for Quarter Ending September 27, 2024 (Form 10-Q)",Finnhub,"dhr-20240927 UNITED STATES SECURITIES AND EXCHANGE COMMISSION Washington, D.C. 20549 ..."
2024-10-22,"Stock Markets Taper on High Valuations, Upcoming Election",Yahoo,In two weeks we potentially could see a number of prominent news items which could change the trajectory of stock market enthusiasm.
2024-10-22,Danaher Corporation 2024 Q3 - Results - Earnings Call Presentation,SeekingAlpha,The following slide deck was published by Danaher Corporation in conjunction with their 2024 Q3 earnings call.
2024-10-23,Jim Cramer on Danaher Corporation (DHR): ‘It’s A Very Important Position’,Yahoo,"We recently compiled a list of the Jim Cramer’s Game Plan: 23 Stocks to Watch. In this article, we are going to take a look at where Danaher Corporation (NYSE:DHR) stands against the other stocks to watch according to Jim Cramer. As Wall Street dives into the heart of earnings season, Jim Cramer has provided insights […]"
2024-10-24,Danaher price target raised to $265 from $250 at Stifel,Yahoo,"Stifel analyst Daniel Arias raised the firm’s price target on Danaher (DHR) to $265 from $250 and keeps a Hold rating on the shares. Q3 performance was above consensus on the top and the bottom lines, with the beat largely driven by Cepheid, but also helped by some bioprocess demand that surpassed expectations, the analyst tells investors. The post-earnings move in shares likely reflects questions on 2025 growth, but if “comfort can be gained with a low-teens EPS growth rate that puts EPS on a p"
2024-10-26,Want to Grow a Passive Income Snowball? Buy These 7 Elite Dividend Growth Stocks.,Yahoo,These seven companies are transforming steady profits into rising passive income streams for investors.
2024-10-29,"Danaher Corp. stock falls Tuesday, underperforms market",MarketWatch,"Danaher Corp. stock falls Tuesday, underperforms market"
2024-11-01,Here’s Why Baron Health Care Fund Added Danaher Corporation (DHR) to its Portfolio,Yahoo,"Baron Funds, an investment management company, released its “Baron Health Care Fund” third quarter 2024 investor letter. A copy of the letter can be downloaded here. The fund appreciated 5.81%% (Institutional Shares) in the quarter compared to a 6.74% gain for the Russell 3000 Health Care Index (benchmark) and a 6.23% gain for the Russell […]"
2024-11-14,"Danaher Corp. stock rises Wednesday, outperforms market",MarketWatch,"Danaher Corp. stock rises Wednesday, outperforms market"
2024-11-15,Health advocates press Cepheid for cheaper mpox tests,Finnhub,"Global health advocates have written to the makers of a key mpox diagnostic test to call for its price to be cut from around $20 per test to $5, to help tackle low testing rates in poorer countries..."
2024-11-19,Fidelity Select Health Care Portfolio Q3 2024 Fund Review,SeekingAlpha,"For Q3 2024, the Fidelity Select Health Care Portfolio fund gained 9.48%, outperforming the MSCI sector index. Click here to read the full commentary."
2024-11-19,Danaher Corporation (DHR) Highlighted Milestones in its 2024 Corporate Sustainability Report,Yahoo,"Madison Investments, an investment advisor, released its “Madison Sustainable Equity Fund” third quarter 2024 investor letter. A copy of the letter can be downloaded here. All equity classes experienced good results in the third quarter. During the quarter, equity markets ended on a high note, with the S&P 500 achieving a 5.89% increase, bringing the full-year […]"
2024-11-20,BlackRock Event Driven Equity Fund Q3 2024 Commentary,SeekingAlpha,"BlackRock Event Driven Equity Fund The Fund was up over the quarter with hard catalyst, soft catalyst, and credit investments all contributing to returns."
2024-11-21,Tracking Akre Capital Management Portfolio - Q3 2024 Update,SeekingAlpha,"Read here for the latest updates on Akre Capital Managements 13F portfolio, with major holdings and significant stake changes in top companies."
2024-11-21,Franklin DynaTech Fund Q3 2024 Commentary,SeekingAlpha,"Global equities ended the third quarter collectively higher as they recovered from bouts of volatility, some of which was stoked by US recession concerns."
2024-11-25,Tracking Al Gores Generation Investment Management Portfolio - Q3 2024 Update,SeekingAlpha,Generation Investment Managements 13F portfolio value increased to $21.41B. Read more to see the portfolios full Q3 2024 update.
2024-11-26,Invesco Health Care Fund Q3 2024 Commentary,SeekingAlpha,"Invesco Health Care Fund underperformed its benchmark. Despite earlier signs of improving trends, our health care outlook is bearish. Read more here."
2024-11-27,Danaher to Present at Evercore ISI HealthCONx Conference,Yahoo,"Danaher Corporation (NYSE: DHR) announced that President and Chief Executive Officer, Rainer M. Blair, will be presenting at the Evercore ISI HealthCONx Conference in Coral Gables, Florida on Wednesday, December 4, 2024 at 3:25 p.m. ET. The event will be simultaneously webcast on www.danaher.com."
2024-11-29,Harding Loevner Global Equity ADR Q3 2024 Report,SeekingAlpha,"The Global Equity ADR composite rose 5.3% gross of fees in the third quarter of 2024, trailing the 6.7% gain in the MSCI ACWI Index. Click here to read the full commentary."
2024-12-03,Harding Loevner Global Developed Markets Equity Q3 2024 Report,SeekingAlpha,"Global markets advanced during the third quarter of 2024, with all regions posting gains. Click here to read the full commentary."
2024-12-03,Tracking Dan Loebs Third Point Portfolio - Q3 2024 Update,SeekingAlpha,"Read here for an update on Dan Loebs Third Point 13F portfolio changes, including new stakes, disposals, and major stake increases and decreases."
2024-12-04,Danaher : How we’re supporting the Human Immunome Project,Finnhub,"The immune system is the nexus of human health. This complex and dynamic system is essential in protecting us from disease, promoting healing, and maintaining overall well-being throughout our lives...."
2024-12-06,Unicorn AIM VCT cautiously optimistic despite some headwinds,Finnhub,"Unicorn AIM VCT PLC on Friday said its net asset value declined over the course of its financial year, despite perking up from where it stood at the end of the first-half. Net asset value per share..."
2024-12-10,Danaher : Top five takeaways from the 2024 Danaher Summit,Finnhub,Some of AIs most profound insights in life science and medicine are due to its ability to work across multiple dimensions at the same time. We can now layer many different kinds of data on top of one...
2024-12-10,Danaher: A Resilient And Solid Company With Growth Potential,SeekingAlpha,"Danaher thrives on strategic growth acquisitions, boasting high earnings margins and low liabilities-to-assets ratio for a promising financial future. Read more here."
2024-12-11,Danaher Announces Quarterly Dividend,Yahoo,"Danaher Corporation (NYSE: DHR) announced today that its Board of Directors has approved a regular quarterly cash dividend of $0.27 per share of its common stock, payable on January 31, 2025 to holders of record on December 27, 2024."
2024-12-12,"Danaher Corp. stock rises Wednesday, still underperforms market",MarketWatch,"Danaher Corp. stock rises Wednesday, still underperforms market"
2024-12-14,"Despite Higher Valuations, Some Life Sciences Tools Stocks Create Good Opportunities: Analyst",Yahoo,"BofA Securities reports that the Life Sciences Tools sector struggled in fiscal year 2024. Spending by pharmaceutical and biotech companies dropped after pandemic-related overspending, and demand in China stayed weak. This led some Life Sciences companies to lower their already-conservative fiscal year revenue forecasts as the year progressed. For most of fiscal year 2024, Life Sciences company valuations remained higher than pre-COVID levels but declined after the U.S. elections. Looking ahead"
2024-12-18,Hartford Global Impact Fund Q3 2024 Commentary,SeekingAlpha,The Hartford Global Impact Fund (I share) outperformed the MSCI ACWI Index during the quarter. Read more here.
2024-12-24,"Danaher Corp. stock rises Monday, still underperforms market",MarketWatch,"Danaher Corp. stock rises Monday, still underperforms market"
2024-12-25,"Keepin It Contrarian: Moat Index Adds Health Care, Reduces Tech",SeekingAlpha,"The MorningstarÂ® Wide Moat Focus IndexSM underwent its quarterly review on December 20, 2024. 13 companies rotated in and out of the Moat Index during its December quarterly rebalance."
2025-01-06,Danaher: A Wide-Moat Gem I Cannot Buy Enough Of,SeekingAlpha,"Discover why Danaher is a strong investment choice with its wide moat business model, M&A strategy, and growth potential for total return investors."
2025-01-07,Danaher to Present at J.P. Morgan Healthcare Conference,Yahoo,"Danaher Corporation (NYSE: DHR) announced that its President and Chief Executive Officer, Rainer M. Blair, will be presenting at the J.P. Morgan Healthcare Conference in San Francisco, California on Tuesday, January 14, 2025 at 11:15 a.m. PT. The event will be simultaneously webcast and can be accessed on the Investors section of Danahers website, www.danaher.com, under the subheading Events & Presentations."
2025-01-08,CURE: Analyst Estimates Point To Significant Gains In 2025,SeekingAlpha,The Direxion Daily Healthcare Bull 3X Shares ETF seeks to deliver 300% (3x) of the return of an index focused on large-cap US healthcare stocks.
2025-01-10,Danaher Announces Investment Partnership in Innovaccer Inc.,Yahoo,"Danaher Diagnostics LLC and Danaher Ventures LLC, two subsidiaries of Danaher Corporation (NYSE: DHR) (Danaher), a global science and technology innovator, announced today that they have formed an investment partnership with Innovaccer Inc., a leading healthcare artificial intelligence (AI) company."
